Customer_ID,First_Name,Last_Name,DOB,Age,Gender,Phone_Number,Street_Address,City,State,Zip,Latitude,Longitude
CUST-042,Annabel,Simon,1955-02-16,68,F,712-879-3520,9300 Speer Blvd,Centennial,CO,80173,39.579,-104.877
CUST-043,Agatha,Huynh,1966-03-25,57,M,980-787-6588,2826 Lincoln Rd,Boulder,CO,80134,40.015,-105.271
CUST-044,Carmine,Davenport,1957-02-19,66,F,449-960-0913,6109 19th Street,Westminster,CO,80920,39.837,-105.037
CUST-045,Odis,Grootendorst,1998-08-02,25,M,516-405-5158,805 12th Street,Denver,CO,80900,39.739,-104.985
CUST-046,Felisha,Cornelisz,1973-11-21,50,F,333-644-2479,4373 Cedar Rd,Aurora,CO,80729,39.729,-104.832
CUST-047,Gustavo,Zimmerman,1975-05-20,48,M,427-397-3315,2231 20th Street,Colorado Springs,CO,80173,38.834,-104.821
CUST-048,Annabell,Zielschot,1998-02-07,25,F,581-577-6655,3458 12th Street,Aurora,CO,80000,39.729,-104.832
CUST-049,Gaylord,Ross,1944-01-30,79,F,487-851-1279,7754 Platte Street,Greeley,CO,80173,40.423,-104.709
CUST-050,Darrell,Terry,1965-09-20,58,F,315-491-4403,2338 54th Ave,Centennial,CO,80000,39.579,-104.877
CUST-051,Rita,Kam,2003-08-01,20,M,317-449-6314,5735 Hollywood Blvd,Centennial,CO,80134,39.579,-104.877
CUST-052,Marilu,Beach,1978-10-22,45,F,230-063-2941,6967 54th Ave,Aurora,CO,80729,39.729,-104.832
CUST-053,Sonia,Eijben,1991-09-18,32,F,538-726-0739,9560 Jason Rd,Pueblo,CO,80173,38.254,-104.609
CUST-054,Vanesa,Carrillo,1966-06-24,57,M,327-224-1120,1299 Jason Rd,Thornton,CO,80729,39.868,-104.972
CUST-055,Ike,Wynn,1947-12-24,76,M,501-278-3174,4875 19th Street,Greeley,CO,80300,40.423,-104.709
CUST-056,Gaylord,Hawkins,1999-09-12,24,F,211-966-8892,3769 19th Street,Greeley,CO,80000,40.423,-104.709
CUST-057,Bobbie,Paal,1967-12-03,56,F,415-361-7894,7306 Main St,Greeley,CO,80920,40.423,-104.709
CUST-058,Curtis,Lapperre,1984-06-27,39,M,867-272-6759,2104 14th Ave,Centennial,CO,80000,39.579,-104.877
CUST-059,Estrella,Greene,1949-01-28,74,M,210-078-9941,8227 Lincoln Rd,Colorado Springs,CO,80900,38.834,-104.821
CUST-060,Galen,Rowe,1952-06-03,71,M,948-598-0497,372 Jason Rd,Colorado Springs,CO,80173,38.834,-104.821
CUST-061,Vallie,Buckner,1948-04-24,75,F,415-337-3619,6333 Oak Ave,Greeley,CO,80729,40.423,-104.709
CUST-062,Bernard,Spithout,1991-01-11,32,F,645-092-7000,6955 Platte Street,Greeley,CO,80729,40.423,-104.709
CUST-063,Mack,Mccullough,1986-10-18,37,M,465-490-8386,4913 Speer Blvd,Thornton,CO,80729,39.868,-104.972
CUST-064,Chung,Heukels,1981-07-15,42,F,706-346-6745,7388 Lincoln Rd,Boulder,CO,80920,40.015,-105.271
CUST-065,Waylon,Lelyveld,1997-10-29,26,M,733-499-1380,9326 20th Street,Colorado Springs,CO,80900,38.834,-104.821
CUST-066,Jame,Martin,1978-01-03,45,M,685-005-5618,4724 20th Street,Denver,CO,80900,39.739,-104.985
CUST-067,Shari,Krause,1987-07-06,36,M,729-900-3600,2508 20th Street,Denver,CO,80173,39.739,-104.985
CUST-068,Lyndia,Woodard,2002-08-02,21,M,368-095-0605,9048 92nd Ave,Pueblo,CO,80729,38.254,-104.609
CUST-069,Lyndon,Dekker,1998-10-24,25,M,748-778-6505,6920 Jason Rd,Fort Collins,CO,80134,40.585,-105.084
CUST-070,Yvonne,Le,1957-12-25,66,F,334-691-4893,6772 Hollywood Blvd,Westminster,CO,80900,39.837,-105.037
CUST-071,Arlie,Moreno,1944-04-26,79,M,517-128-3880,7352 Oak Ave,Boulder,CO,80134,40.015,-105.271
CUST-072,Britta,Kues,1943-11-07,80,M,754-953-7361,1880 20th Street,Aurora,CO,80134,39.729,-104.832
CUST-073,Ruthann,Griffin,1998-10-02,25,M,910-131-1221,1787 Cedar Rd,Centennial,CO,80134,39.579,-104.877
CUST-074,Fumiko,Mcdowell,1988-11-24,35,F,976-770-1908,7729 Jason Rd,Denver,CO,80134,39.739,-104.985
CUST-075,Gabriele,Mees,1953-03-14,70,F,435-397-5528,9758 Oak Ave,Greeley,CO,80173,40.423,-104.709
CUST-076,Alethia,Keiman,1983-05-31,40,F,334-767-3941,5589 Hollywood Blvd,Fort Collins,CO,80300,40.585,-105.084
CUST-077,Troy,Holden,1947-03-19,76,F,689-265-0925,570 Oak Ave,Colorado Springs,CO,80300,38.834,-104.821
CUST-078,Manie,Powell,1953-12-31,70,F,240-660-5514,8157 Jason Rd,Pueblo,CO,80134,38.254,-104.609
CUST-079,Sharla,Mchoul,1950-11-30,73,F,768-192-6009,3571 Speer Blvd,Colorado Springs,CO,80900,38.834,-104.821
CUST-080,Gracie,Roberts,1976-08-26,47,M,373-423-1796,7457 92nd Ave,Denver,CO,80173,39.739,-104.985
CUST-081,Vance,Galvan,1943-01-10,80,M,918-542-5474,7816 Cedar Rd,Denver,CO,80300,39.739,-104.985
CUST-082,Freda,Estrada,1956-03-05,67,M,305-586-8010,8539 54th Ave,Denver,CO,80173,39.739,-104.985
CUST-083,Cristina,Boudewijn,1972-07-22,51,F,567-335-4491,4583 Oak Ave,Thornton,CO,80900,39.868,-104.972
CUST-084,Marcelino,Cox,1956-09-02,67,M,728-680-7406,8889 Oak Ave,Lakewood,CO,80134,39.705,-105.081
CUST-085,Horacio,Novak,1999-02-25,24,F,327-129-7286,7731 12th Street,Fort Collins,CO,80000,40.585,-105.084
CUST-086,Ernesto,Willems,1995-08-09,28,M,455-317-1002,1307 54th Ave,Boulder,CO,80134,40.015,-105.271
CUST-087,Jack,Bridges,1984-02-05,39,F,223-292-5371,2905 14th Ave,Greeley,CO,80729,40.423,-104.709
CUST-088,Lorrie,Oconnor,1948-11-06,75,F,313-004-8198,7761 Hollywood Blvd,Lakewood,CO,80920,39.705,-105.081
CUST-089,Marion,Burks,1948-08-19,75,F,583-190-2968,4539 12th Street,Pueblo,CO,80173,38.254,-104.609
CUST-090,Jacquelyne,Chayah,1953-05-08,70,M,459-085-7969,1010 Platte Street,Aurora,CO,80920,39.729,-104.832
CUST-091,Beverlee,Faulkner,1990-01-22,33,M,271-369-9151,1230 92nd Ave,Aurora,CO,80920,39.729,-104.832
CUST-092,Troy,Stark,1968-06-04,55,F,428-616-4349,3211 Jason Rd,Boulder,CO,80920,40.015,-105.271
CUST-093,Rochell,Schuling,1991-02-07,32,F,609-880-5687,9221 20th Street,Centennial,CO,80300,39.579,-104.877
CUST-094,Phebe,Buitenweg,1955-10-18,68,F,741-863-4792,4358 Jason Rd,Thornton,CO,80300,39.868,-104.972
CUST-095,Aaron,Hood,1999-08-15,24,F,575-847-2501,8251 54th Ave,Denver,CO,80000,39.739,-104.985
CUST-096,Clarinda,Vonck,1949-04-13,74,F,930-754-7604,4715 Main St,Arvada,CO,80134,39.803,-105.087
CUST-097,Adolfo,Roeder,1987-09-12,36,F,650-832-6207,7635 92nd Ave,Pueblo,CO,80000,38.254,-104.609
CUST-098,Rudolf,Hendrickx,1992-07-15,31,M,665-109-3138,9271 19th Street,Lakewood,CO,80173,39.705,-105.081
CUST-099,Florentina,Pacheco,2005-04-01,18,F,455-870-0555,8441 Speer Blvd,Colorado Springs,CO,80134,38.834,-104.821
